title,link,price,category,uploadDate,zzim,img,mall
메드스튜디오14k 금 로즈골드 여자 심플 팔찌,https://adcr.naver.com/adcr?x=He9/gg3DZ/1AUz8G64M04v///w==kjHAokSfXFUSNFbjm52qrEeIm96wNH61U7wP0sZwC5vozJ3O+fwRHfWiOjWM7n2b+NPpn/qf/LdPjyhz9WUov/VAAwsj0VLS5TYFXqT+K/LRixLXEnGoZlQ/uDNnhpbVO+LLMooufbp/bwuyqNrjDLb1CTcipfp5OZnE2RYZzin4p3r/yVKVf+cBbcxJoTnPM27gx+9slnNKCxtiQ+J72eK68QVrn+W4muvIlfzW3N70rUUdkdIcXOSsg8+SGeGZ2FZnlbZayy8niBY+AVXvoWc5Dn9R6B3gxl2VMrc0O4RJ5NkUHeArHb3vtsx0FPdfnJwdVFIbKI6NltuqW4Xezg+N+s72DZnOvAM1IxLs3F7sFfWOczAE17CsMfgPjrGmlgQ1+ls7a+EI+IMh/NBcjj8dD0RuF4Fcz7EAU5DJHjBV/ISAAGxDrcoVDzbsKVGRWHF1sRPX5RCYupLaQfU8JlVNlDnoxPK+2ga03Cp/Oe+Bs6BBx8H0++HHa5G9R0eFvJUjkWqAs8qGxb0WNAB62ETLPptR6hYM8BK59KlIyu7q6+CId46oFFcasfhs3hzcMVJGP4kSTs5rfr5yJv5LOpg7wbLSzcVviTwKGMjbFMtUZvU0H8LbaKeSlJuLrIfft29N9miIPWDHR0ofoK4iTLoi1MmyoX7sYXRWqnf4DZPE18Pk7uaV+ICW7g2KLppmrn258t/1dn+DiO8sl0IHedvL+OO+II3pHpfjhe6Wq48tFebB5wuy6cEuGm1bFGAVqcu5S1u1pCmpDEhX9UuSur9evQl0Vg2NJpO6U3e5ST8PB2aSPwp1eafiIwR64h1x148md+Zdx7dFpdgIEYn4lUU7GzUu8TeUR71niidF3cGqWM+L7sOdmE5bRwyCBy3nc,290000원,패션잡화 > 주얼리 > 팔찌 > 금팔찌, 2018.03.,7,https://shopping-phinf.pstatic.net/main_1365214/13652140854.3.jpg?type=f140,메드스튜디오
메드스튜디오 14k 금 골드 여자 심플 팔찌,https://adcr.naver.com/adcr?x=2B/pqu9Dgkn8tBx0PyojBv///w==kgJehM6tGQvkgxkEq43Z9ss88XuupSCnX0u92aQ9jO2oEnYEZSGZw75QSeXaJull9o2r8m49L7oFFydpNaz4d6Kk+tQII2QzFOBBBth0c8naRje1VlbuUxEQyNKw+hX3b2xVWpy49OfSiO3afekcfFmuwiJDYZqKfK6ZB8XqMCPxlzcd0TUOlUxn4eJEWUKLgYppYlttJ47sknxYhVHuUQGhnNXCY70hw49w6xu9/IFPKDpoJZXiSbl299B9ztpaI6rFCxA0HrYdSTImxQnM6S09p73ifcjhYyDes3vQbNBLhDgL68tWkE9E8hSHPg6DIvL5EnyqcJp+hSr4Lwn9cPYodLg4lYRjn8E8qPgisu0K+/hrL8wRkIEdUwG1FTBhiqBbY6x2P2zu5mGslsDYd5eTDUgJoO02JyrM3gIp+1xjM9dmN7dliWmi6sOpZlPuiFBLcf1aeI+JQtxnOz9VjB/KKEqEFPupJVCFBiDL+RQZGX7+5dIKj32kHJLkIBS0yqUMEtn0yTb7AWMbP215tGmrqv/urYdHAOdzHfndFxbzfTUoE5gd9BSk7BWqR6pnF/wjTDTmQ5vwWUj6FbbTYHHscQeH5oqTh+toCdNCT+8iPo8EGaLU3BAPhmJ4qIs0KMBf09fRzmkEwH2V9Ymv8ZsF6zyZhv/AEJ5XpvUveS+CzNzCSt6CGSTbq7dWYoQ56jQh9E8kjjkZFmJ7a7fBxbsyyrzGeK34z89r36jO6wQUVzrCymbD1y1jQhltzI7ihKUycWb3fwf3npKDwBOZK7w6PtoexhrDheD5EQtyPJFFp0H5dD5kH+klP4dk0rUR7RE1nUyDabatL67KsEt9EtlN2BUwRV+gwOl3ujVgyo4R4rxh3xqvSjPxKzZCrpqZ2pvm5o30RVnQ9evC0JvZTxg==,530000원,패션잡화 > 주얼리 > 팔찌 > 금팔찌, 2018.03.,14,https://shopping-phinf.pstatic.net/main_1365214/13652140541.4.jpg?type=f140,메드스튜디오
메드스튜디오14k 금 로즈골드 여자 심플 팔찌,https://adcr.naver.com/adcr?x=jI3JhgCRon8b+L51UjJR7v///w==k9BB+4GQ/3eYeAfCfvXRAYogScB8Ejyk2V3XC3RpTjDY6frzuVsfY2B8r6ddUz3vmUvexDfXpC7vm1z4DaGgJL1u5MyoGXQRvB2SE40ApBEMG6idz4Hzo9AJTgxwvTZhPcNbrMQ7eI2C1yiHqi1HkQqYZWs8TgqPW5Lq5/EecrDxyLs/8tFXLHUCofr5xUTS2fpoM3tkx1FzojauZnnaUussoOjGYae7dOKmP9OQhBNe7F7RUaaWgeBKneXIZu9vpHrZeMN5dLpOkfAK8yUg1KuSu5Y0oX9KOXaYtoAuFU1JrMvT3n8HPjCxrfASlzc90GKuXWLrvqVw1PwWRAhAtbWyZr/d69yqZRDThABeVW/1XGEuuKqtDM7IAmXSqKak4x9rwhoPEKxy//0U4EJjLcuQOl6SP64Xwm1xIWghzu4/yXZmMldy3YcSfwh/wle6LRG7y2Aat0Lp7B+OAohPNM17np4vRxFwP+pj7y3nGYS5C07j0ipZuZ4MsQt86Q/P08YJiyO2cG8jeiV0bNLVYtS+pD+jtqELrtxlUBfJ0IeA3NdJwVy+I2e1JL+6mxvVk+YrA9ltIknhFzREC77NwppwI7FrFcsoIWHYk5iEEc6NMlWC/9ADoxoIxd8zwirFCLjhzOgwhihYTbAgryMKrzEwCXZabMYymWYChGPeWmrVBl9/Fm01906QZMPHKXV9aS1Fx5rL81wlhNuE0x0HPuv9KFovFFsYNjC7hSuvHSk5AAjKwmOrcHOTRCNlWeOsTmKnIGOV+3tzvyEyDNXPb8+Wbeuk29K2ArGmtMsXIyVygAyoG6oDTTZjFpvsuUFcGWdvAjZLb8C3F86a2YtDcsWvxx6ZTq6lVo9oOwEJiUn0VqNp/4NNwUY+4Zcc3iyHx,230000원,패션잡화 > 주얼리 > 팔찌 > 금팔찌, 2018.03.,0,https://shopping-phinf.pstatic.net/main_1365214/13652140847.3.jpg?type=f140,메드스튜디오
14K 18K 디스토트 심플 체인팔찌,https://adcr.naver.com/adcr?x=5DjNgvveW2kZ9FCD4zF/4P///w==kD1zR6e02aoPFZOK8rUlhef00JPRWY039CPFsd/aeK8wcuUw7oQlAQyXhLpYNW3YxXe3FhEi/G7o7hs/vIWzaF/crm7hGD/Itur3P3SORcRnzaTkPNMN1vnDpM9c0ZP+JrmlHqX744gJ66X2hHPA/1rovX7b8tOhr80Q3ZXOaLv+6uM4wKsajthrPdL2RUW6buxPTkLT6JxxTaPYh1l7VmLCpiycdBv4bWsmp0BReFdne39IRBHJhoF7iduqkMuZmX+P4fE6gK7GYtyA0gd3QrlPh/+Y7jQwI+5mQx0fI21YAnFfoT5pPinoSdhT4aYVPNEOXVAcXujPqdE6bly8dpaaVhuUo12y5gq93IEB71ZFSlE/2Mu5R5m+hax6LgJ51nrKdR08iZ9YVKkCZOBuy/UBRg36lsMfWNTK9TWja6+l4A+LsbYRO68kX3JNcLI65ECOUcRdhehBraKylVERf68Qe2mU6Xi7DCZmDeovc8rONhzD9PpUuoQjnSdejFueZu7KE3m1FTAl49Zsok4FfMbV3K5cYGMyk8yEi9WJEae/N3GAtMzdiqrA/4PSvrcJvCai0wYJSHwNtwKIZPbqTf6k9hLf5RiN3TVPCzTUX7AYOh0pO3rISGlhxBL0Ne9K3H+b6SGLrFs6WQqUQhsugukM1rMFxmLrqf76smHbgXDhLU0hM4mobidm1Ia0dVvSPUazzl8+hw4y0jkwAuz/DzTQvwjSNmXxxfx5ejsBssxBDI9B6nKBLzp81pChEsBK1gqfcrsL5UCPeqWYt5HaE+A==,437800원,패션잡화 > 주얼리 > 팔찌 > 금팔찌, 2023.05.,1,https://shopping-phinf.pstatic.net/main_4006358/40063585122.jpg?type=f140,준쥬얼리
메드스튜디오 14k 금 골드 여자 심플 팔찌,https://adcr.naver.com/adcr?x=TaGMtl1dJfvKc6CK72h0Nv///w==k9NdIQSu5Y6y0tSe88ZpxZLMgjavlSqvjniFb6RbNLFZKcwOyJmyZk9GOuJJsNSMy6WgcfGmYnkge7qUeBFnVsG8qFcYxO+MMcyT+WKbtXuqUPU3l4qNXLfHYRWakPn00kzFrRJeIxEB7Vsdt0DmxujEcyifoNXujiiGgzOyWeCOP9ulb7GnIm/8XHVJqQHtUXQK0bX6npO1fyUD3q+7ar6tOhNCocHP+UyKdhUm/rKtyma4+wrlav/Z8tBupRmA5vKUnPHLmaUn8USaIHayAKULvjQsIHYG5aN8YPHEB0Wfpir+QAJq7I2s9S3U8WhRUpdAbXDqvA3HXhl3KLNNSJybEWyIpV/acLpaioAxSMEvSsitCBiN8RStWOLxSKUEUkHFcprRHSZwBS9lhaIWID92YiYnRIHYCEIYspDaOKA/bTp7yVS+m2dvvVTuN3I+McdEWoq2rHfpGHOyWBZobOFZLzOZdg+/etFJvsc6XACCo3VTP4HoV9vin4mONsZki6rMutX+UCRS87c81SbI4BbUouS3+6WQBoaMGUvSSzcU6aO7TuuGVCF+dxwoVidVU5wCrIaeYwzxYRDtT0QBnQKaOvcU5DdII8SuPiKiLjbPheZNqYOpgTeZUYCbjLXbnePnOyICZHSTq0+08p2NSru8bN4FKdO/fy2GFowMnIT4uzHGWD6EzM8s1BhTdWfBQApqN2hzwFKt1xDlei1T1O5wgrPDc/oc+yElRnfn08N/2/V0msLI5728DrIdT4sXS6gL6xCKvHSRyQsq3IPBX1Cogqnvf1t4coYINEDNqGcYq6Y+Ojcefl0guMk5LA+oJaGE4d77nDIYkJgsFAPEu4G25EmBPcgD5/hW0Nezzc9Ux5UNFOODKpR4SdJUzcdtO,230000원,패션잡화 > 주얼리 > 팔찌 > 금팔찌, 2018.03.,14,https://shopping-phinf.pstatic.net/main_1365214/13652140848.3.jpg?type=f140,메드스튜디오
14K 18K 디스토트 듀얼 체인팔찌,https://adcr.naver.com/adcr?x=JiMvASc2wEcHFA/JQnftM////w==kQaZdNKBNq+SIW2GPdHviJhvQ3xt+XG+/YK3zEGyoAhHZ0J3aSf4KPN72mIvn7tbjJdomPCUPfqdLjxfB1h5Y3a7RvgDt/kx2/vDSvpB4GqGkTrDkE0foVFEp5c6npnvEpqfJVds0yPWJibFMSWYGX7Gic5c7fGBy4ci6cazufc0YS8C2DvE7/VezMxylBWMrDhaE1MysAB65Qo+TdwpadVhJcIGP1H8mPwcpR/j5IdNcfNPrb7ikB2q96Ev3ek+aGin9DSf2naVVQ+nka7fuTKg/uHJsW+7gZAK0MJ+iTCCUfgZoUwwC6uBkiB0bz5zQGSEfJ3Dhaf0Vc5BpEiAZM8I83T/FxehVkgUVW5o772J2YXkIrutHluN/3IwjykDtk3fjDWNBtnGIZaSQHp0B0H3yDv8T2rC72znvvfSL00ZA2yjRkbQQ9zzoGmYFd45GgNnMtARS8goDomDLbiEJNWE2GawnKQJr2n7i+7Or0Mm/9vjIcnUNxB6PEUOvdjHhlGuBlB2HK+T8OfMRNj2Xm+BixY39HtndyqyAng1mzwBGOhwdM3ZT25tDl3KK7gFHuWGzUYwghjJY2rFHLs7XvjxmjBE0p8gGJKq8nSUxw8CiikvlWmvUMb/550NNoSu7coJoVKzvN9BWFI8J2rsCCkXex+8n9ycscKi2WehEvZTFrpaX1xKGqagF4p0/8bb7sfPKPFwLWGAOL0UUcdT0nG5l/A+r9/5meUaI0KpgqPDQ3yPFIQTgvtsaTp3LTrqBcE0nW2xal1iSSrtyjsTn8Q==,496800원,패션잡화 > 주얼리 > 팔찌 > 금팔찌, 2023.05.,0,https://shopping-phinf.pstatic.net/main_4006373/40063739336.jpg?type=f140,준쥬얼리
